sequence,codec,qp,branch,reconstruction,status,kbps,bpp,psnr_y,ssim_y,encode_fps,decode_fps,stage_sum_fps,realtime_speed,error
Beauty,h264,22,low,low_native,ok,6300.4,0.22787905092592592,41.23919548271002,0.9626066041666667,498.3123277461338,629.303130553898,87.1933587251235,0.7266113227093626,
Beauty,h264,27,low,low_native,ok,2603.61,0.094169921875,38.73644314396094,0.9475610104166666,491.94622787638644,699.9141795921713,88.22683780228743,0.7352236483523953,
Beauty,h264,32,low,low_native,ok,993.38,0.035929542824074075,35.4492183228168,0.9166766979166666,677.4483273598439,668.8429562299945,92.21538771904717,0.7684615643253931,
Beauty,h264,37,low,low_native,ok,411.16,0.014871238425925927,32.111662898538874,0.8736085312499999,577.4454846396361,537.7635369006646,87.22769288367063,0.7268974406972553,
Beauty,h264,42,low,low_native,ok,172.89,0.006253255208333333,28.938169915979927,0.82470809375,565.8578257462582,728.0199128646342,90.79561547718839,0.7566301289765699,
Beauty,h264,47,low,low_native,ok,88.91,0.0032157841435185184,26.636784056089553,0.7830384791666667,633.0926218545584,585.1215618384257,89.59349351755,0.7466124459795833,
Beauty,h264,51,low,low_native,ok,78.16,0.0028269675925925927,26.654188482273725,0.7785262604166667,636.7283032061843,692.9773616549791,91.85682210564535,0.7654735175470446,
Beauty,hevc,22,low,low_native,ok,5251.58,0.1899442997685185,43.079303825480046,0.97108321875,556.1262286099285,464.370471739801,84.56991127240562,0.7047492606033802,
Beauty,hevc,27,low,low_native,ok,2411.06,0.08720558449074074,40.92318289173793,0.9612951041666666,562.5743114460922,313.2387836625082,77.8638751807709,0.6488656265064242,
Beauty,hevc,32,low,low_native,ok,1092.13,0.03950122974537037,38.61105712884408,0.9459421250000001,570.8264650319944,584.1409350491831,88.20915267036881,0.7350762722530734,
Beauty,hevc,37,low,low_native,ok,498.72,0.018038194444444444,36.301161734335984,0.9241595520833333,508.0193607853442,314.6954814250867,76.81061110927133,0.6400884259105944,
Beauty,hevc,42,low,low_native,ok,230.73,0.008345269097222222,33.8737635746331,0.8942681666666666,564.8263564992151,530.4583434140359,86.7411900348932,0.7228432502907766,
Beauty,hevc,47,low,low_native,ok,117.4,0.004246238425925926,31.537317514898106,0.8614770520833334,584.3641288385754,571.309786600642,88.22577489724468,0.7352147908103723,
Beauty,hevc,51,low,low_native,ok,73.39,0.002654441550925926,29.64977238590476,0.8313353645833333,563.1259728090816,613.1073891246729,88.65430762074074,0.7387858968395061,
Beauty,av1,24,low,low_native,ok,5235.5,0.1893627025462963,43.01252682238225,0.9716356145833333,19.919687252992087,383.4401911255479,16.479218152229034,0.13732681793524196,
Beauty,av1,32,low,low_native,ok,2566.78,0.09283781828703704,41.221370954503016,0.9634180729166667,20.69038515505537,578.3612500232566,17.261145774393825,0.14384288145328186,
